都道府県,開始日,終了日,救急搬送困難事案数
長野県,"2020-06-15","2020-06-21",0
岐阜県,"2020-06-15","2020-06-21",0
静岡県,"2020-06-15","2020-06-21",0
愛知県,"2020-06-15","2020-06-21",5
三重県,"2020-06-15","2020-06-21",0
滋賀県,"2020-06-15","2020-06-21",1
京都府,"2020-06-15","2020-06-21",6
大阪府,"2020-06-15","2020-06-21",120
兵庫県,"2020-06-15","2020-06-21",14
奈良県,"2020-06-15","2020-06-21",3
和歌山県,"2020-06-15","2020-06-21",3
鳥取県,"2020-06-15","2020-06-21",0
島根県,"2020-06-15","2020-06-21",0
岡山県,"2020-06-15","2020-06-21",2
広島県,"2020-06-15","2020-06-21",20
山口県,"2020-06-15","2020-06-21",3
徳島県,"2020-06-15","2020-06-21",1
香川県,"2020-06-15","2020-06-21",3
愛媛県,"2020-06-15","2020-06-21",1
高知県,"2020-06-15","2020-06-21",3
福岡県,"2020-06-15","2020-06-21",6
佐賀県,"2020-06-15","2020-06-21",5
長崎県,"2020-06-15","2020-06-21",0
熊本県,"2020-06-15","2020-06-21",5
大分県,"2020-06-15","2020-06-21",0
宮崎県,"2020-06-15","2020-06-21",4
鹿児島県,"2020-06-15","2020-06-21",1
沖縄県,"2020-06-15","2020-06-21",0
北海道,"2020-06-22","2020-06-28",46
青森県,"2020-06-22","2020-06-28",1
岩手県,"2020-06-22","2020-06-28",4
宮城県,"2020-06-22","2020-06-28",20
秋田県,"2020-06-22","2020-06-28",0
山形県,"2020-06-22","2020-06-28",2
福島県,"2020-06-22","2020-06-28",1
茨城県,"2020-06-22","2020-06-28",11
栃木県,"2020-06-22","2020-06-28",2
群馬県,"2020-06-22","2020-06-28",0
埼玉県,"2020-06-22","2020-06-28",21
千葉県,"2020-06-22","2020-06-28",56
東京都,"2020-06-22","2020-06-28",430
神奈川県,"2020-06-22","2020-06-28",59
新潟県,"2020-06-22","2020-06-28",17
富山県,"2020-06-22","2020-06-28",0
石川県,"2020-06-22","2020-06-28",4
福井県,"2020-06-22","2020-06-28",0
山梨県,"2020-06-22","2020-06-28",5
